05/11/15,DATE.,PARTY NAME,PARTY MOULD NO.,MOULD DETAIL,CAVITY,TYPE'S OF MOULD,PART NAME,DWG.NO.,CHALLAN NO.,DIS.DATE,,
19,14.12.2012,INTRI CAST,5562A,GATE WORK,1,MANUAL,-,-,,15.12.2012,,
20,14.12.2012,INTRI CAST,5558A,GATE WORK,1,MANUAL,-,-,,15.12.2012,,
21,14.12.2012,INTRI CAST,5556A,GATE WORK,1,MANUAL,-,-,,15.12.2012,,
22,19.12.2012,INTOL CAST,5397A,REWORK,1,MANUAL,DN-80 BODY,5210364,,20.12.2012,,
23,20.12.2012,SANJIVANI CASTING,-,NEW,2,MANUAL,K-10.01,K-10.01,424,31.12.2012,,
24,20.12.2012,SUJIT MECHANICAL WORKS,-,NEW,1,MANUL,CORE BOX,-,,21.12.2012,,
25,21.12.2012,INTOL CAST,5669A,NEW,1,MANUAL,PUSHER RING 150-600,9J.C.M6.P.00.0.0 (REV-000),407,25.12.2012,,
26,21.12.2012,INTOL CAST,5666A,NEW,1,MANUAL,PUSHER RING 150-600,9J.C.K6.P.00.0.0 (REV-000),406,25.12.2012,,
27,21.12.2012,INTOL CAST,5614A,NEW,1,MANUAL,1/2&3/4 CLASS600 BODY ,44A8900(REV-A),460,31.1.2013,,
28,22.12.2012,GUJARAT INTRUX LTD,1390B,CORRECTION,1,PATTERN,BODY ZETRIX PN40 DN350,107160042,404,24.12.2012,,
29,27.12.2012,LIFE2K,-,REWORK,6,MANUAL,HOOK-1,-,419,28.12.2012,,
30,27.12.2012,INTOL CAST,5620A,CORRECTION,4,MANUAL,,,,28.12.2012,,
31,27.12.2012,INTRI CAST,5406A ,GATE WORK,1,MANUAL,IMPLANT,,412,28.12.2012,,
32,27.12.2012,INTRI CAST,5407A,GATE WORK,1,MANUAL,IMPLANT,,412,28.12.2012,,
33,27.12.2012,INTRI CAST,5408A,GATE WORK,1,MANUAL,IMPLANT,,412,28.12.2012,,
34,28.12.2012,INTRI CAST,5385A,GATE WORK,1,MANUAL,IMPLANT,,415,29.12.2012,,
35,28.12.2012,INTRI CAST,5386A,GATE WORK,1,MANUAL,IMPLANT,,415,29.12.2012,,
36,29.12.2012,GANESH DIE,,NEW,4,MANUL,BUSH,,418,29.12.2012,,
37,29.12.2012,SHUBHAM DIE,,,,,SUNRAY TEXT PLATE,,421,29.12.2012,,
38,30.12.2012,SOLAR TECHNOCAST,5131,CORRECTION,1,AUTOMATIC,HOUSING-C,,427,3.1.2013,,
39,01.01..2013,INTOL CAST,5685A,NEW,6,AUTOMATIC,CASTING DISC DN-80,Y028961-B,446,20.1.2013,,
40,01.01..2013,INTOL CAST,5686A,NEW,4,AUTOMATIC,CASTING DISC DN-100,Y028985-B,447,22.1.2013,,
41,1.01.2013,K.B. STEEL,,,,,Hendel Desig,,426,1.1.2013,,
42,03.01.2013,SAHJANAND ,,NEW,1,MANUAL,TP ,,429,6.1.2013,,
43,03.01.2013,SAHJANAND ,,NEW,1,MANUAL,END CAP,,429,6.1.2013,,
44,05.01.2013,INTRI CAST,5679A,NEW,1,MANUAL,FRONT HEAD,MDS OSM190,432,7.1.2013,,
45,5.01.2013,INTRI CAST,5680A,NEW,1,MANUAL,BACK HEAD,MDS OSM190,434,8.1.2013,,
46,7.1.2013,ALKA INDUSTRIES,,,16,,CAP DIE,,,8.1.2013,,
47,8.1.2013,INTRI CAST,4502A,CORRECTION,1,MANUAL,,,433,8.1.2013,,
48,11.1.2013,GUJARAT INTRUX LTD,1382C,VMC WORK,1,PATTERN,BODY ZETRIX PN25 DN200,107160014,436,12.1.2013,,
49,11.1.2013,GUJARAT INTRUX LTD,1407C,VMC WORK,1,PATTERN,BODY ZETRIX PN25 DN250,107160015,486,12.1.2013,,
50,12.1.2013,GUJARAT INTRUX LTD,1374C,VMC WORK,1,PATTERN,BODY ZETRIX PN25 DN500,1071600200,463,2.2.2013,,
51,12.1.2013,GUJARAT INTRUX LTD,1384C,VMC WORK,1,PATTERN,BODY ZETRIX PN25 DN300,107160016,443,20.1.2013,               ,
52,12.1.2013,GUJARAT INTRUX LTD,1388C,VMC WORK,1,PATTERN,BODY ZETRIX PN25 DN350,107160017,441,19.1.2013,,
53,12.1.2013,AMTECH CASTING,1506,VMC WORK,1,MANUAL,GAHAUSE,8-SZ-1449510141,440,19.1.2013,,
54,13.1.2013,INTOL CAST,5504A,LETTER PIN WORK,1,MANUAL,BODY DN150MM FB,,444,20.1.2013,,
55,13.1.2013,INTOL CAST,5505A,LETTER PIN WORK,1,MANUAL,TAIL PIECE 150MM FB,,444,20.1.2013,,
56,13.1.2013, GANESH DIE ,JAGDISHBHAI,NEW,2,MANUAL,ID DIA 35MM,"80(3"")",442,19.1.2013,,
57,13.1.2013, GANESH DIE ,JAGDISHBHAI,NEW,2,MANUAL,ID DIA 42MM,"100(4"")",442,19.1.2013,,
58,13.1.2013, GANESH DIE ,JAGDISHBHAI,NEW,2,MANUAL,ID DIA 33MM,"DN 50(2"")",442,19.1.2013,,
59,13.1.2013,RANISH ,,NEW,1,MANUAL,,,,7.2.2013,,
60,18.1.2013,INTOL CAST,5537A,GATE WORK,1,MANUAL,,,445 and 454,25.1.2013,,
61,19.1.2013,SUMANGLE,2986,GATE WORK,1,MANUAL,BODY,,449,22.1.2013,,
62,19.1.2013,SUMANGLE,2987,GATE WORK,1,MANUAL,BODY,,449,22.1.2013,,
63,19.1.2013,AMTECH CASTING,1478,CORRECTION,2,AUTOMATIC,BONNET-SS316,AE/ICB/107-01-02/001,448,20.1.2013,,
64,19.1.2013,SAHJANAND ,,NEW,1,MANUAL,25MM BODY,,468,8.2.2013,,
65,19.1.2013,SAHJANAND,,NEW,1,MANUAL,25MM TP,,468,8.2.2013,,
66,19.1.2013,SAHJANAND,,NEW,1,MANUAL,40MM BODY,,468,8.2.2013,,
67,19.1.2013,SAHJANAND,,NEW,1,MANUAL,40MM TP,,468,8.2.2013,,
68,21.1.2013,INTOL CAST,5409A,CORRECTION,6,AUTOMATIC,,98024 Rev L,451,22.1.2013,,
69,21.1.2013,INTOL CAST,5410A,CORRECTION,6,AUTOMATIC,,98025 Rev K,453,24.1.2013,,
70,21.1.2013,INTOL CAST,5411A,CORRECTION,6,AUTOMATIC,,98026 Rev K,453,24.1.2013,,
71,22.1.2013,INTOL CAST,5387A ,CORRECTION,4,AUTOMATIC,IMPLANT,,467,5.2.2013,,
72,24.1.2013,INTOL CAST,1710A,CORRECTION,4,MANUAL,RADIALLY CAP,,,24.1.2013,,
73,24.1.2013,SUMANGLE,2986,GATE WORK,1,MANUAL,,,,27.1.2013,,
74,24.1.2013,SUMANGLE,2987,GATE WORK,1,MANUAL,,,,26.1.2013,,
75,26.1.2013,SUMANGLE,2986/2987,GATE DIE,4,MANUAL,,,,27.1.2013,,
76,29.1.2013,SHARDAR ROOFING,,,,HY MACHINE,FLEXTRON SIX,DIE-PUNCH,461,31.1.2013,,
77,29.1.2013,AMTECH CASTING,1507,CORRECTION,1,MANUAL,Entgasungsgehause,8-AND-100350103,465,4.2.2013,,
78,29.1.2013,INTOL CAST,5639A,NEW,2,MANUAL,"1""X3/4 RB(25RB) ADAPTER",02.F.2.2.L.DC.3.1.0.1.xxxx,470,12.2.2013,,
79,29.1.2013,INTOL CAST,5638A,NEW ,2,MANUAL,"1""X3/4 RB(25RB) BODY",02.F.2.2.L.DC.3.1.0.1.xxxx,469,12.2.2013,,
80,29.1.2013,INTOL CAST,5640A,NEW ,2,MANUAL,"3/4"" RB(20RB) BODY",01.F.1.2.L.CC.1.1.0.1.xxxx,476,17.2.2013,,
81,29.1.2013,INTOL CAST,5641A,NEW,2,MANUAL,"3/4"" RB(20RB) ADAPTER",02.F.1.2.L.CC.1.1.0.1.xxxx,477,17.2.2013,,
82,31.1.2013,AMTECH CASTING,1890,NEW,2,MANUAL,COVER CASTING DN15 & 20,A2/062003,,2.2.2013,,
83,1.2.2013,AMTECH CASTING,1801,CORRECTION,2,AUTOMATIC,CASTING-SS CUP FOR DIM6,2039,471,10.2.2013,,
84,2.2.2013,AMTECH CASTING,1335,CORRECTION,1,MANUAL,,,481,19.2.2013,,
85,2.2.2013,HI-CON,HI-3748,CORRECTION,1,MANUAL,,,466,4.2.2013,,
86,2.2.2013,SANJIVANI CASTING,3701,NEW,1,MANUAL,SAUGGEHAUSE  DN25 PN15,060-500/0170-0-R09D2,506,19.3.2013,,
87,5.2.2013,INTOL CAST,4938A,CORRECTION,1,MANUAL,RECTIFICATION,CP-47C-10-790-HE00,,12.2.2013,,
88,5.2.2013,INTOL CAST,5022A,CORRECTION,2,AUTOMATIC,RECTIFICATION,CP-47C-15-790-6-HF00,,12.2.2013,,
89,5.2.2013,INTOL CAST,4979A,CORRECTION,3,AUTOMATIC,RECTIFICATION,CP-47C-15-790-HD00,473,14.2.2013,,
90,5.2.2013,INTOL CAST,4978A,CORRECTION,2,AUTOMATIC,RECTIFICATION,CP-47C-05-790-HD00,473,14.2.2013,,
91,5.2.2013,INTOL CAST,5020A,CORRECTION,3,AUTOMATIC,RECTIFICATION,CP-47C-05-790-6-HF00,473,14.2.2013,,
92,5.2.2013,INTOL CAST,5021A,CORRECTION,2,AUTOMATIC,RECTIFICATION,CP-47C-10-790-6-HF00,473,14.2.2013,,
93,11.2.2013,AMTECH CASTING,1292,CORRECTION,1,AUTOMATIC,SPIRAX PS.9990087 CAT4,A2/1343401,475,17.2.2013,,
94,12.2.2013,SHUBHAM DIE,,NEW ,2,MANUAL,PLASTIC HENDEL,,480,18.2.2013,,
95,15.2.2013,SHUBHAM DIE,,NEW,16,MANUAL,PLASTIC STEND,,480,18.2.2013,,
96,15.2.2013,INTRI CAST,5216A,REWORK,4,AUTOMATIC,NOZZLE INSERT,3-043593-04,474,16.2.2013,,
97,18.2.2013,GANESH DIE,,CORRECTION,1,MANAUL,6 INCH,,491,26.2.2013,,
98,21.2.2013,AMTECH CASTING,1549,CORRECTION,1,AUTOMATIC,1125-6402,DISCHARGE MANIFOLD DL-25-SA,488,25.2.2013,,
99,21.2.2013,AMTECH CASTING,1547,CORRECTION,1,AUTOMATIC,1125-6204,PUMP CHAMBER DL-25-SA,486,24.2.2013,,
100,21.2.2013,AMTECH CASTING,1548,CORRECTION,1,AUTOMATIC,1125-6104,SUCTION MANIFOLD DL-25-DA,486,24.2.2013,,
101,22.2.2013,SUJIT MECHANICAL WORKS,,NEW,1,MANUAL,,NOZZEL,490,26.2.2013,,
102,22.2.2013, GANESH DIE ,,NEW ,4,MANUAL,,,491,27.2.2013,,
103,22.2.2013, GANESH DIE ,,NEW,2,MANUAL,PART-113,HOOK,491,27.2.2013,,
104,26.2.2013,INTOL CAST,5672A,LETTER PIN WORK,1,AUTOMATIC,"DISC CASTING 200/8"" CL.150",UG950452201 ZDK001,492,28.2.2013,,
105,26.2.2013,INTOL CAST,5673A,LETTER PIN WORK,1,AUTOMATIC,"DISC CASTING 250/10"" CL.150",UG950504901 ZDK 001,492,28.2.2013,,
106,1.3.2013,AMTECH CASTING,1907,NEW,4,AUTOMATIC,CLAMP CASTING,A3/3579706,498,9.3.2013,,
107,2.3.2013,LINIT TECHNOLOGI,,NEW,2,MANUAL,STEST BAR,,495,8.3.2013,,
108,2.3.2013,LINIT TECHNOLOGI,,NEW,2,MANUAL,STEST BAR,,495,8.3.2013,,
109,3.3.2013,INTOL CAST,5732A,NEW,1,MANUAL,TAIL PIECE DN 150,F2306102-ICD,497,8.3.2013,,
110,7.3.2013,KHUSBHU ,,NEW,4,PLASTIC MOULD,PLASTIC CAP,Die Reject,,1.8.2013,,
111,7.3.2013,KHUSBHU ,,NEW,1,PLASTIC MOULD,PASTIC CRUSHR,Die Reject,,1.8.2013,,
112,7.3.2013,GUJARAT INTRUX LTD,1364,NEW,1,MANUAL,BODY ZETRIX PN25 DN600,107160021,494,7.3.2013,,
123,11.3.2013,GUJARAT INTRUX LTD,1566A,NEW,1,PATTERN,"BODY GATE VALVE DN2"" CLASS150",50020COFU,525,8.4.2013,,
124,10.3.2013,AMTECH CASTING,,CORRECTION,1,MANUAL,DL50 SUCTION MANIFOLD,,,16.3.2013,,
125,10.3.2013,AMTECH CASTING,1556,CORRECTION,1,MANUAL,DL80 PUMP CHAMBER,,,16.3.2013,,
126,11.3.2013,AMTECH CASTING,,NEW,1,,SHEET HOLE ,BOILAR,,12.3.2013,,
127,11.3.2013,K.B. STEEL,,,1,,HENDEL DESIGH ,,,11.3.2013,,
128,11.3.2013,VIDYA VAN,,,1,,HENDEL COPPER,,,11.3.2013,,
129,11.3.2013,GUJARAT INTRUX LTD,1567A,NEW,1,PATTERN,"BONNET GATE VALVE DN2"" CLASS150",50020CAFU,526,8.4.2013,,
130,11.3.2013,SPECTRA CAST,,NEW,3,,"V8,V6 SEGMENT GAUGE",,503,14.3.2013,,
131,12.3.2013,KHUSBHU ,,NEW,1,PLASTIC MOULD,PLASTIC MAIN BODY,Die Reject,,1.8.2013,,
132,15.3.2013,K.B. STEEL,,NEW,1,,HENDEL DESIGH ,,,16.3.2013,,
133,16.3.2013,SUJIT MECHANICAL WORKS,,NEW,1,,IMPERAL,,,24.3.2013,,
134,10.3.2013,GUJARAT INTRUX LTD,1407,REWORK,1,PATTERN,BODY ZETRIX PN25 DN250,107160015,505,18.3.2013,,
135,10.3.2013,GUJARAT INTRUX LTD,1390,REWORK,1,PATTERN,BODY ZETRIX PN40 DN350,107160042,507,19.3.2013,,
136,10.3.2013,GUJARAT INTRUX LTD,1388,REWORK,1,PATTERN,BODY ZETRIX PN25 DN350,107160017,505,18.3.2013,,
137,10.3.2013,GUJARAT INTRUX LTD,1384,REWORK,1,PATTERN,BODY ZETRIX PN25 DN300,107160016,507,19.3.2013,,
138,10.3.2013,GUJARAT INTRUX LTD,1382,REWORK,1,PATTERN,BODY ZETRIX PN25 DN200,107160014,505,18.3.2013,,
139,10.3.2013,GUJARAT INTRUX LTD,1374,REWORK,1,PATTERN,BODY ZETRIX PN25 DB500,107160020,507,19.3.2013,,
140,10.3.2013,GUJARAT INTRUX LTD,1372,REWORK,1,PATTERN,BODY ZETRIX PN40 DN500,107160045,507,19.3.2013,,
141,10.3.2013,GUJARAT INTRUX LTD,1366,REWORK,1,PATTERN,BODY ZETRIX PN40 DN600,107160046,507,19.3.2013,,
142,18.3.2013,MINA,,,28,PLASTIC MOULD,WATCH BELT,,70,1.8.2013,,
143,18.3.2013,GANESH DIE,,REPAIRING,1,MANUAL,,,513,22.3.2013,,
144,18.3.2013,GANESH DIE,,REPAIRING,1,MANUAL,,,513,22.3.2013,,
145,18.3.2013,GANESH DIE,997,REPAIRING,1,MANUAL,,,513,22.3.2013,,
146,18.3.2013,GANESH DIE,,REPAIRING,1,MANUAL,,,513,22.3.2013,,
147,21.3.2013,VIAIBHAV SERGICAL,,NEW,4,MANUAL,,,515,24.3.2013,,
148,22.3.2013,GANESH DIE,1052,REPAIRING,1,MANAUL,BOWL-80,,512,23.3.2013,,
149,22.3.2013,GANESH DIE,1054,REPAIRING,1,MANUAL,BOWL-125,,512,23.3.2013,,
150,22.3.2013,GANESH DIE,1071,REPAIRING,1,MANAUL,BOWL-150,,512,23.3.2013,,
148,24.3.2013,RUDRA TECHNO CAST,,NEW,2,MANUAL,COMPRESSION RING,PS016-10,523,5.4.2013,,
149,24.3.2013,RUDRA TECHNO CAST,,NEW,2,MANUAL,LOCKING RING,PS006-10,523,5.4.2013,,
150,24.3.2013,RUDRA TECHNO CAST,,NEW,2,MANUAL,RETAININIG RING,PS017-10,523,5.4.2013,,
151,24.3.2013,RUDRA TECHNO CAST,,NEW,1,MANUAL,LOCK NUT,PS011-10,,11.4.2013,,
152,24.3.2013,RUDRA TECHNO CAST,,NEW,1,MANUAL,GLAND NUT,PS010-10,523,5.4.2013,,
153,24.3.2013,RUDRA TECHNO CAST,,NEW,1,MANUAL,BARREL,PS008A-10,523,5.4.2013,,
154,24.3.2013,RUDRA TECHNO CAST,,NEW,1,MANUAL,PLUG BODY,PS045-10,,11.4.2013,,
155,24.3.2013,RUDRA TECHNO CAST,,NEW,1,MANUAL,CABLE GUIDE,PS021-10,,11.4.2013,,
156,24.3.2013,RUDRA TECHNO CAST,,NEW,1,MANUAL,PLUG BODY,PS044-10,,11.4.2013,,
157,24.3.2013,RUDRA TECHNO CAST,,NEW,1,MANUAL,PLUG BODY,PS046-10,523,5.4.2013,,
158,24.3.2013,RUDRA TECHNO CAST,,NEW,1,MANUAL,SOCKET BODY,PS027-10,,11.4.2013,,
159,24.3.2013,RUDRA TECHNO CAST,,NEW,1,MANUAL,SOCKET BODY,PS024-10,,11.4.2013,,
160,26.3.2013,GUJARAT INTRUX LTD,1408,REWORK,1,PATTERN,BODY ZETRIX PN40 DN250,107160040,520,4.4.2013,,
161,26.3.2013,GUJARAT INTRUX LTD,1441,REWORK,1,PATTERN,BODY ZETRIX PN40 DN125-150,107160037,521,4.4.2013,,
162,26.3.2013,GUJARAT INTRUX LTD,1386,REWORK,1,PATTERN,BODY ZETRIX PN40 DN300,107160041,522,4.4.2013,,
163,28.3.2013,MINA,,NEW,24,PLASTIC MOULD,WATCH BELT 10MM,,70,1.8.2013,,
164,25.3.2013,KISHAN CASTING,,NEW,1,PATTERN,COVERPLATE 550 STANDARD ALECTO,21BZ1000002,558,10.5.2013,,
165,25.3.2013,KISHAN CASTING,,NEW,,PATTERN,BODY 550 F10/F12,10BZ1000C0M00,558,10.5.2013,,
166,25.3.2013,KISHAN CASTING,,NEW,,PATTERN,COVERPALTE 880 STANDARD ALECTO,21C0Z10000001,558,10.5.2013,,
167,25.3.2013,KISHAN CASTING,,NEW,,PATTERN,BODY 880 PAP PCD F12/F16,10CZ10M050M00,558,10.5.2013,,
168,29.3.2013,SOHAMAX AUTOMATION,,NEW,2,MANUAL, HEX VALVE BODY,,,25.4.2013,,
169,29.3.2013,GANESH DIE,181,REWORK,1,MANUAL,,,518,4.4.2013,,
170,29.3.2013,GANESH DIE,1136,REWORK,4,MANUAL,,,518,4.4.2013,,
171,29.3.2013,GANESH DIE,182,REWORK,1,MANUAL,DN-100 BALL VALVE HOUSING,,518,4.4.2013,,
172,2.4.2013,GENEX,,REWORK,,MANUAL,PLASTI ,,,6.4.2013,,
173,5.4.2013,INTOL CAST,5504B,CORRECTION,1,MANUAL,BODY 150MM (6 INCH) FB,F2106101(1),524,7.4.2013,,
174,6.4.2013,GANESH DIE,1164,REWORK,1,MANUAL,PEW 60,60MM BOWL,530,10.4.2013,,
175,6.4.2013,GANESH DIE ,1072,REWORK,1,MANUAL,,200MM BOWL,530,10.4.2013,,
176,9.4.2013,PMT,AM333,CORRECTION,2,MANAUL,,,533,15.4.2013,,
177,11.4.2013,PARASH ,,NEW,2,MANAUL,SS HENDEL,KAMDARBHAI (9426986213),529,12.4.2013,,
178,12.4.2013,HI-CON,3748,CORRECTION,1,MANAUL,,,466,4.2.2013,,
179,12.4.2013,VIAIBHAV SERGICAL,,NEW,2,MANAUL,,,534,16.4.2013,,
180,12.4.2013,KHODIYA INDUSTRIES,,NEW,,,RING_1 PCD 204 AT 16MM HOLE 4,,,13.5.2013,,
181,12.4.2013,KHODIYA INDUSTRIES,,,,,RING_2PCD 210 AT 20MM HOLE 4,,,13.5.2013,,
182,13.4.2013,INTOL CAST,5504A,CORRECTION,1,MANAUL,,,532,15.4.2013,,
183,13.4.2013,INTOL CAST,5505A,CORRECTION,1,MANAUL,,,532,15.4.2013,,
184,14.4.2013,INTOL CAST,5756A,NEW,2,AUTOMATIC,COVER (IC.DRG.),3121 0162 00-IC,547,15.4.2013,,
185,14.4.2013,HI-CON,3861,NEW,1,AUTOMATIC,TP BODY,,538,23.4.2013,,
186,16.4.2013,SOHAMAX AUTOMATION,,NEW,2,MANUAL,BODY COVER,,,25.4.2013,,
187,16.4.2013,AMTECH CASTING,,NEW,1,MANAUL,Schleibwand,8-SZ-2845030141,,25.4.2013,,
188,25.4.2013,INTOL CAST,5813A,NEW,1,MANUAL,TAIL PIECE-150MM (6IN) RP,F1106502-102-ICD,544,29.4.2013,,
189,25.4.2013,AMTECH CASTING,1549,CORRECTION,1,AUTOMATIC,DISCHARGE MANIFOLD DL25-SA,1125-6204,535,27.4.2013,,
190,25.4.2013,INTOL CAST,5808A,NEW,1,MANUAL,TAIL PIECE-150MM (6IN) RP,F1106502-102-ICD,,4.2.2013,,
191,28.4.2013,BHARATBHAI,,NEW,1,PATTERN,,,594,13.6.2013,,
190,30.4.2013,GANESH DIE,,NEW,1,MANUAL,,,546,3.5.2013,,
192,30.4.2013,LINIT TECHNOLOGI,,NEW,1,MANAUL,Schleibwand,8-SZ-3353610141,549,4.5.2013,,
193,5.5.5013,AMTECH CASTING,,GATE WORK,2,MANAUL,,,551,6.5.2013,,
194,5.5.2013,AMTECH CASTING,,GATE WORK,4,MANAUL,,,551,6.5.2013,,
195,5.5.2013,HI-CON,H-3481,CORRECTION,1,AUTOMATIC,"1/2"" FB x 150 BODY ADAPTOR",,552,6.5.2013,,
196,5.5.2013,DHARPAT CASTING,1517,REWORK,1,MANUAL,RETENSION RING REWORK,,560,11.5.2013,,
197,7.5.2013,KHUSBHU ,,NEW,4,MANUAL,,Die Reject,,1.8.2013,,
198,7.5.2013,KHUSBHU ,,NEW,1,MANUAL,,Die Reject,,1.8.2013,,
199,7.5.2013,RUDRA TECHNO CAST,,NEW,4,MANUAL,LOCKING BLOCK,PS030-10,559,11.5.2013,,
200,7.5.2013,RUDRA TECHNO CAST,,NEW,4,MANUAL,HANDLE BLOCK,PS031-11,559,11.5.2013,,
201,9.5.2013,RUDRA TECHNO CAST,,NEW,2,MANUAL,EARTHING PLATE,PS007-10,559,11.5.2013,,
202,10.5.2013,INTOL CAST,5732A,REWORK,1,MANAUL,TAIL PIECE DN 150 ,F2306102-ICD,575,25.5.2013,,
203,17.5.2013,Gando,,NEW,1,MANAUL,Aji,,,1.8.2013,,
204,18.5.2013,HI-CON,2895,REWORK,1,MANUAL,,,569,19.5.2013,,
205,18.5.2013,INTOL CAST,5827A,GATE WORK,1,MANUAL,,,598,15.6.2013,,
206,19.5.2013,SHRI KHODIYAR INDUSTRIES,,NEW,1,PATTERN,,,570,19.5.2013,,
207,21.5.2013,ALKA INDUSTRIES,,REWORK,4,MANUAL,Rework die,,,28.5.2013,,
208,21.5.2013,DHARPAT CASTING,1158,CORRECTION,6,AUTOMATIC,25mm Terminal Box,,560,11.5.2013,,
209,21.5.2013,GENEX,,CORRECTION,1,MANUAL,,,572,21.5.2013,,
210,23.5.2013,HI-CON,3823,CORRECTION,1,MANUAL,,,576,26.5.2013,,
211,26.5.2013,GANESH DIE,,NEW,4,MANUAL,,,579,1.6.2013,,
212,26.5.2013,HI-CON,3264,GATE WORK,1,MANUAL,,,578/585,6.6.2013,,
213,28.5.2013,INTOL CAST,2350A,NEW,2,,CASTING CAUGE,,580,1.6.2013,,
214,31.5.2013,GANESH DIE,,REWORK,1,MANUAL,FLOWER,,588,8.6.2013,,
215,1.6.2013,GANESH DIE ,,NEW,4,MANUAL,DN-15MM,,582,4.6.2013,,
216,1.6.2013,GANESH DIE,,NEW,4,MANUAL,DN-20MM,,582,4.6.2013,,
217,1.6.2013,GANESH DIE ,,NEW,4,MANUAL,DN-25MM,,582,4.6.2013,,
218,4.6.2013,INTOL CAST,5505A,GATE WORK,1,MANUAL,,,587,7.6.2013,,
219,4.6.2013,GANESH DIE,,NEW,2,MANUAL,,,582,4.6.2013,,
220,5.6.2013,HIRENBHAI,,NEW,,PATTERN,,,595,13.6.2013,,
221,6.6.2013,KISHAN CASTING,,REWORK,1,PATTERN,,,586,7.6.2013,,
222,7.6.2013,SHUBHAM DIE,,NEW,1,,URATOM TEXTE PLATE,1 Copper and 4 Plate,599,15.6.2013,,
223,7.6.2013,SHUBHAM DIE,,NEW,20,MANUAL,,,599,15.6.2013,,
224,10.6.2013,PARTH ENGINEERING,,NEW,2,MANUAL,2_INCH FLANGE,,593,13.6.2013,,
225,13.6.2013,INTOL CAST,5264A,PIN WORK,4,MANUAL,,VALVE COVER-27008680,598,15.6.2013,,
226,14.6.2013,ICE BURG TECHNOCAST,2233,NEW,2,MANUAL,TAILPIECE 50MM (2IN) FB,F2102102(I),4,17.6.2013,,
227,14.6.2013,ICE BURG TECHNOCAST,2232,NEW,2,MANUAL,BODY 50MM (2IN) FB,F2102101(I),6,20.6.2013,,
228,14.6.2013,HI-CON,H-2129,REWORK,1,MANUAL,"CUERPO S.K.1.2"".AI.IC-EN-PN10",2826-1,,20.4.2013,,
229,16.6.2013,INTOL CAST,5504A and 5504B,GATE WORK,1,MANUAL,,,12,22.6.2013,,
230,16.6.2013,INTOL CAST,4243A,PIN WORK,1,MANUAL,,,8,21.6.2013,,
231,19.6.2013,INTOL CAST,5862A,NEW,2,MANUAL,"2"" FB (50NB) STEM HOUSING ( C )",06A2S8GG3171XXXX,16,28.6.2013,,
232,19.6.2013,INTOL CAST,5866A,NEW,1,MANUAL,"3"" FB (80NB) STEM HOUSING ( C )",06A2S8JJ1181XXXX,17,28.6.2013,,
233,21.6.2013,HI-CON,,NEW,1,MANAUL,40 Class Chill,CHINTANBHAI,11,22.6.2013,,
234,21.6.2013,HI-CON,,NEW,1,MANUAL,50 Class Chill,CHINTANBHAI,11,22.6.2013,,
235,22.6.2013,VIAIBHAV SERGICAL,,NEW,4,MANUAL,,,21,30.6.2013,,
236,23.6.2013,SUJIT MECHANICAL WORKS,,NEW,1,MANUAL,,,19,29.6.2013,,
